DateTime,ProfileName,GroupUrl,Status,Message,PostPreview
2025-05-31 09:47:40,FB1,https://www.facebook.com/groups/359738049338907,Success,Post completed successfully,Van Rental Available. Chill AC. Monthly & Daily Re...
2025-05-31 09:50:25,FB1,https://www.facebook.com/groups/827337472333089,Success,Post completed successfully,Van Rental Available. Chill AC. Monthly & Daily Re...
2025-05-31 09:58:57,FB1,https://www.facebook.com/groups/119193998719316,Success,Post completed successfully,Van Rental Available. Chill AC. Monthly & Daily Re...
2025-05-31 10:01:39,FB1,https://www.facebook.com/groups/3107984135917675,Success,Post completed successfully,Van Rental Available. Chill AC. Monthly & Daily Re...
2025-05-31 10:04:20,FB1,https://www.facebook.com/groups/119193998719316,Success,Post completed successfully,Van Rental Available. Chill AC. Monthly & Daily Re...
2025-05-31 10:06:50,FB1,https://www.facebook.com/groups/dubaiapartment,Success,Post completed successfully,Van Rental Available. Chill AC. Monthly & Daily Re...
2025-05-31 10:14:27,FB1,https://www.facebook.com/groups/dubaishorttermrentals,Failed,Error during posting: Could not find post creation area with any known selector,Van Rental Available. Chill AC. Monthly & Daily Re...
2025-05-31 10:17:13,FB1,https://www.facebook.com/groups/180827490738951,Success,Post completed successfully,Van Rental Available. Chill AC. Monthly & Daily Re...
2025-05-31 10:20:00,FB1,https://www.facebook.com/groups/827337472333089,Success,Post completed successfully,Van Rental Available. Chill AC. Monthly & Daily Re...
2025-05-31 10:20:43,FB2,"https://www.facebook.com/groups/2193861384102531 ",Failed,"Error during posting: stale element reference: stale element not found
  (Session info: chrome=137.0.7151.55); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception",Hiring Now! Earn up-to AED 5000/month working remo...
2025-05-31 10:21:16,FB10,https://www.facebook.com/groups/285733944933027,Failed,"Error during posting: stale element reference: stale element not found
  (Session info: chrome=137.0.7151.55); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception",Hi
2025-05-31 23:54:32,FB1,https://www.facebook.com/groups/359738049338907,Success,Post completed successfully,Are you looking for Job ? 10000+ Jobs Daily Update...
2025-05-31 23:56:50,FB1,https://www.facebook.com/groups/827337472333089,Failed,Error during posting: Could not find post input field with any known selector,Are you looking for Job ? 10000+ Jobs Daily Update...
